,01. Bình thường,02. Gãy xương quay,03. Gãy xương cánh tay,04. Gãy xương đùi,05. Gãy xương ngón tay,06. Gãy xương chày,07. Gãy xương cẳng tay,08. Gãy xương cổ chân,09. Gãy xương cẳng chân,10. Gãy xương vùng vai,11. Gãy xương bàn chân,12. Gãy cột sống thắt lưng,13. Gãy xương bàn tay,14. Gãy xương ngón chân,15. Viêm khớp,16. Gãy xương trụ,17. Cắt cụt ngón tay,18. Gãy xương bánh chè,19. Gãy xương gót,20. Gãy cột sống ngực,21. Gãy xương thuyền,22. Gãy xương vùng chậu
01. Bình thường,278,36,26,15,66,51,8,44,2,13,26,20,13,8,16,9,3,5,4,6,3,2
02. Gãy xương quay,17,124,3,0,2,1,32,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0
03. Gãy xương cánh tay,14,5,85,0,1,0,3,0,0,9,0,0,1,0,0,8,0,0,0,0,0,0
04. Gãy xương đùi,1,0,0,79,0,6,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,4
05. Gãy xương ngón tay,6,1,0,0,73,0,0,0,0,0,0,0,3,0,0,0,10,0,0,0,0,0
06. Gãy xương chày,13,0,0,0,0,58,0,0,13,0,0,0,0,0,0,0,0,3,0,0,0,0
07. Gãy xương cẳng tay,3,18,0,0,0,0,55,0,0,0,0,0,1,0,0,4,3,0,0,0,3,0
08. Gãy xương cổ chân,11,0,0,0,0,0,0,61,3,0,3,0,0,0,0,0,0,0,0,0,0,0
09. Gãy xương cẳng chân,3,0,0,0,0,8,0,10,54,0,0,0,0,0,0,0,0,0,0,0,0,0
10. Gãy xương vùng vai,3,0,20,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0
11. Gãy xương bàn chân,17,0,0,0,0,0,0,3,0,0,36,0,3,4,0,0,0,0,0,0,0,0
12. Gãy cột sống thắt lưng,5,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,5,0,0
13. Gãy xương bàn tay,4,5,0,0,13,0,0,0,0,0,0,0,25,0,0,1,0,0,0,0,0,0
14. Gãy xương ngón chân,6,0,0,0,0,0,0,0,0,0,18,0,0,22,2,0,0,0,0,0,0,0
15. Viêm khớp,15,0,0,0,0,0,0,0,0,0,0,0,0,2,28,0,0,0,0,0,0,0
16. Gãy xương trụ,0,8,9,0,0,0,13,0,1,0,0,0,0,0,0,11,0,0,0,0,0,0
17. Cắt cụt ngón tay,3,0,0,0,30,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0
18. Gãy xương bánh chè,4,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0
19. Gãy xương gót,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,27,0,0,0
20. Gãy cột sống ngực,4,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,5,0,0
21. Gãy xương thuyền,1,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
22. Gãy xương vùng chậu,4,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
