dataset,model,n,n_seeds,accuracy_mean,accuracy_sd,balanced_accuracy_mean,balanced_accuracy_sd,f1_macro_mean,f1_macro_sd
ctch,XBone-Net,669,3,0.6183358246138515,0.020349355113763935,0.5934856259034786,0.013430980343210141,0.5727009678931485,0.019311945572832192
ctch,ResNet-50,669,3,0.49825610363726963,0.007670555215914626,0.4179593835685383,0.0045843485186651736,0.41536844842352744,0.002024440595586003
ctch,DenseNet-121,669,3,0.48181365221723965,0.003761751088824488,0.4919840832941234,0.04651648131972355,0.43603754886620055,0.024183994915708797
ctch,CLIP,669,3,0.5874439461883408,0.020926756352765283,0.6216589992573354,0.03585888375394975,0.5632746523154514,0.009020359069084572
ctch,MedCLIP,669,3,0.5600398604882909,0.03961371043408265,0.5723253064388926,0.017749336663120768,0.5161041223775656,0.02242837534917451
ctch,PubMedCLIP,669,3,0.5520677628300947,0.02336497077766488,0.5588940245068613,0.0613596139499251,0.5203266795630538,0.026440733030089415
ctch,BiomedCLIP,669,3,0.5969108121574488,0.025293552857991158,0.6022590175904182,0.023384295766020923,0.5540039451900572,0.007994096049805981
ctch,Phase 2 only,669,3,0.6003986048829099,0.008499612411176855,0.5552163552825159,0.03411916397106069,0.5497363175795417,0.01842371013505407
ctch,Concatenation,669,3,0.5824613851519681,0.003761751088824466,0.5982898061709252,0.02684469660562588,0.5476706613360486,0.01620139406972996
ctch,Image only,669,3,0.4439461883408072,0.06893783293034501,0.48425024206981476,0.013576195868648592,0.3812501657043909,0.05511908505491035
btxrd,XBone-Net,750,3,0.8302222222222223,0.009828153061109355,0.6114996957683276,0.013959049899105512,0.6239584987889538,0.011813856529287457
btxrd,ResNet-50,750,3,0.6066666666666666,0.013333333333333308,0.318020814387041,0.013112623113529958,0.32846922849565957,0.009566955125660711
btxrd,DenseNet-121,750,3,0.632,0.0013333333333332975,0.3693948022361651,0.014966336830846007,0.3717819417917227,0.017296383683297476
btxrd,CLIP,750,3,0.8035555555555556,0.027336043226100913,0.5957416280831186,0.015952485351547144,0.5786595130274094,0.025157774615430877
btxrd,MedCLIP,750,3,0.8208888888888889,0.0146868547927629,0.6126837987127198,0.023782781809034276,0.6057480235560851,0.015347152182438085
btxrd,PubMedCLIP,750,3,0.7884444444444445,0.028513804324169695,0.6088789347309288,0.03421209226945279,0.5722694360075821,0.057704047156115365
btxrd,BiomedCLIP,750,3,0.831111111111111,0.002775554665954876,0.6061938082516504,0.025381597443348003,0.599350850134058,0.012411032482838188
