dataset,model,seed,n,accuracy,balanced_accuracy,f1_macro
ctch,XBone-Net,42,669,0.6023916292974589,0.5787625576946588,0.5588520036459103
ctch,XBone-Net,123,669,0.6113602391629297,0.5966264160132208,0.5644892059725184
ctch,XBone-Net,456,669,0.6412556053811659,0.6050679040025565,0.5947616940610169
ctch,ResNet-50,42,669,0.4962630792227205,0.4229171242738387,0.41713519922169306
ctch,ResNet-50,123,669,0.5067264573991032,0.4138736975248883,0.4158107062459439
ctch,ResNet-50,456,669,0.49177877428998507,0.417087328906888,0.4131594398029454
ctch,DenseNet-121,42,669,0.4813153961136024,0.5327474385929182,0.4596236638837572
ctch,DenseNet-121,123,669,0.4857997010463378,0.44131140561243337,0.41129702079877756
ctch,DenseNet-121,456,669,0.47832585949177875,0.5018934056770189,0.43719196191606696
ctch,CLIP,42,669,0.5724962630792227,0.6579006530348165,0.5727125824477958
ctch,CLIP,123,669,0.57847533632287,0.6208807916253325,0.5547398015266775
ctch,CLIP,456,669,0.6113602391629297,0.586195553111857,0.562371572971881
ctch,MedCLIP,42,669,0.5605381165919282,0.5812640758500509,0.528179942958862
ctch,MedCLIP,123,669,0.5994020926756353,0.5518836722661465,0.5299071530618238
ctch,MedCLIP,456,669,0.5201793721973094,0.5838281712004799,0.49022527111201125
ctch,PubMedCLIP,42,669,0.5306427503736921,0.6108371750783192,0.5312788217211204
ctch,PubMedCLIP,123,669,0.5485799701046338,0.49119195610618127,0.49016963808614944
ctch,PubMedCLIP,456,669,0.5769805680119582,0.5746529423360834,0.5395315788818915
ctch,BiomedCLIP,42,669,0.5904334828101644,0.6202831462020686,0.5519739984035337
ctch,BiomedCLIP,123,669,0.5754857997010463,0.6106588279486194,0.5472205175493611
ctch,BiomedCLIP,456,669,0.624813153961136,0.5758350786205668,0.5628173196172769
ctch,Phase 2 only,42,669,0.6098654708520179,0.5528745043482068,0.5624321677376428
ctch,Phase 2 only,123,669,0.5979073243647235,0.5223284470829808,0.5286051372191677
ctch,Phase 2 only,456,669,0.593423019431988,0.5904461144163601,0.5581716477818145
ctch,Concatenation,42,669,0.57847533632287,0.6016228911026829,0.5507019227355101
ctch,Concatenation,123,669,0.5829596412556054,0.5699342089357899,0.5301677306594992
ctch,Concatenation,456,669,0.585949177877429,0.6233123184743028,0.5621423306131362
ctch,Image only,42,669,0.523168908819133,0.4704904793173224,0.4435477475900935
ctch,Image only,123,669,0.3976083707025411,0.4846251414314622,0.33881545407751595
ctch,Image only,456,669,0.4110612855007474,0.49763510546065975,0.36138729544556314
btxrd,XBone-Net,42,750,0.8226666666666667,0.5959764172917678,0.6139740813497229
btxrd,XBone-Net,123,750,0.8413333333333334,0.6230197845659469,0.6370005995820056
btxrd,XBone-Net,456,750,0.8266666666666667,0.6155028854472682,0.6209008154351328
btxrd,ResNet-50,42,750,0.6066666666666667,0.30312509127339815,0.3174498484315884
btxrd,ResNet-50,123,750,0.62,0.323117301960689,0.33465462381039524
btxrd,ResNet-50,456,750,0.5933333333333334,0.32782004992703584,0.3333032132449951
btxrd,DenseNet-121,42,750,0.632,0.3644221219130499,0.3687837954403197
btxrd,DenseNet-121,123,750,0.6333333333333333,0.38621451520168676,0.39038140172800695
btxrd,DenseNet-121,456,750,0.6306666666666667,0.3575477695937588,0.3561806282068413
btxrd,CLIP,42,750,0.82,0.5949354458420086,0.5721979647138935
btxrd,CLIP,123,750,0.772,0.5802075192759286,0.5573627532958024
btxrd,CLIP,456,750,0.8186666666666667,0.6120819191314186,0.6064178210725324
btxrd,MedCLIP,42,750,0.8306666666666667,0.5860060323436297,0.5930756638083408
btxrd,MedCLIP,123,750,0.804,0.620379695388038,0.6013560370475447
btxrd,MedCLIP,456,750,0.828,0.6316656684064916,0.6228123698123698
btxrd,PubMedCLIP,42,750,0.7573333333333333,0.5715793566965179,0.506745723390655
btxrd,PubMedCLIP,123,750,0.7946666666666666,0.6162582594145442,0.5945556361616111
btxrd,PubMedCLIP,456,750,0.8133333333333334,0.6387991880817242,0.6155069484704804
btxrd,BiomedCLIP,42,750,0.832,0.5769129517127293,0.5869655307001829
btxrd,BiomedCLIP,123,750,0.828,0.6197392164132988,0.5992995828670598
btxrd,BiomedCLIP,456,750,0.8333333333333334,0.621929256628923,0.6117874368349313
