dataset,model,seed,metric,cache,metrics_json
ctch,ResNet-50,42,accuracy,0.4962630792227205,0.49177877428998507
ctch,ResNet-50,42,balanced_accuracy,0.4229171242738387,0.4238027379806617
ctch,ResNet-50,42,f1_macro,0.41713519922169306,0.41308336927266004
ctch,ResNet-50,123,accuracy,0.5067264573991032,0.4947683109118087
ctch,ResNet-50,123,balanced_accuracy,0.4138736975248883,0.40267376693228507
ctch,ResNet-50,123,f1_macro,0.4158107062459439,0.4028553487189368
ctch,ResNet-50,456,balanced_accuracy,0.417087328906888,0.4113581903874932
ctch,ResNet-50,456,f1_macro,0.4131594398029454,0.4075806682900467
ctch,DenseNet-121,42,balanced_accuracy,0.5327474385929182,0.5348431912009659
ctch,DenseNet-121,42,f1_macro,0.4596236638837572,0.46098607776173
ctch,DenseNet-121,123,accuracy,0.4857997010463378,0.4872944693572496
ctch,DenseNet-121,123,balanced_accuracy,0.44131140561243337,0.4434759077769355
ctch,DenseNet-121,123,f1_macro,0.41129702079877756,0.4133988827281435
ctch,DenseNet-121,456,accuracy,0.47832585949177875,0.476831091180867
ctch,DenseNet-121,456,balanced_accuracy,0.5018934056770189,0.49990975714164615
ctch,DenseNet-121,456,f1_macro,0.43719196191606696,0.43562017727771213
ctch,MedCLIP,42,accuracy,0.5605381165919282,0.5590433482810164
ctch,MedCLIP,42,balanced_accuracy,0.5812640758500509,0.58105556876081
ctch,MedCLIP,42,f1_macro,0.528179942958862,0.5265468838812825
ctch,MedCLIP,123,accuracy,0.5994020926756353,0.5979073243647235
ctch,MedCLIP,123,balanced_accuracy,0.5518836722661465,0.5503162741470243
ctch,MedCLIP,123,f1_macro,0.5299071530618238,0.5285021659847831
ctch,Phase 2 only,42,accuracy,0.6098654708520179,0.617339312406577
ctch,Phase 2 only,42,balanced_accuracy,0.5528745043482068,0.5611498493280387
ctch,Phase 2 only,42,f1_macro,0.5624321677376428,0.5766606772937339
ctch,Phase 2 only,123,accuracy,0.5979073243647235,0.6188340807174888
ctch,Phase 2 only,123,balanced_accuracy,0.5223284470829808,0.5904102557184429
ctch,Phase 2 only,123,f1_macro,0.5286051372191677,0.5815127641069772
ctch,Phase 2 only,456,balanced_accuracy,0.5904461144163601,0.6067182484947848
ctch,Phase 2 only,456,f1_macro,0.5581716477818145,0.5603618942682504
ctch,Concatenation,42,accuracy,0.57847533632287,0.5605381165919282
ctch,Concatenation,42,balanced_accuracy,0.6016228911026829,0.6273755224355876
ctch,Concatenation,42,f1_macro,0.5507019227355101,0.5528942002948087
ctch,Concatenation,123,balanced_accuracy,0.5699342089357899,0.5989562316442163
ctch,Concatenation,123,f1_macro,0.5301677306594992,0.5595784539170059
ctch,Concatenation,456,accuracy,0.585949177877429,0.5904334828101644
ctch,Concatenation,456,balanced_accuracy,0.6233123184743028,0.6332901328402213
ctch,Concatenation,456,f1_macro,0.5621423306131362,0.574115020340066
btxrd,ResNet-50,123,accuracy,0.62,0.6213333333333333
btxrd,ResNet-50,123,balanced_accuracy,0.323117301960689,0.32533952418291123
btxrd,ResNet-50,123,f1_macro,0.33465462381039524,0.33640941480260367
btxrd,MedCLIP,456,accuracy,0.828,0.8266666666666667
btxrd,MedCLIP,456,balanced_accuracy,0.6316656684064916,0.6309760132340778
btxrd,MedCLIP,456,f1_macro,0.6228123698123698,0.6217309423831162
