number,key,year,title_plain,filename,pages,source_url
1,Alayrac2022Flamingo,2022,Flamingo: a Visual Language Model for Few-Shot Learning,[2022] [1] Flamingo a Visual Language Model for Few-Shot Learning.pdf,21,https://papers.nips.cc/paper_files/paper/2022/file/960a172bc7fbf0177ccccbb411a7d800-Paper-Conference.pdf
2,BioViL,2022,Making the Most of Text Semantics to Improve Biomedical Vision--Language Processing,[2022] [2] Making the Most of Text Semantics to Improve Biomedical Vision--Language.pdf,21,https://www.ecva.net/papers/eccv_2022/papers_ECCV/papers/136960001.pdf
3,Brodersen2010BalancedAcc,2010,The Balanced Accuracy and Its Posterior Distribution,[2010] [3] The Balanced Accuracy and Its Posterior Distribution.pdf,5,https://logongas.es/lib/exe/fetch.php?media=clase:iabd:pia:2eval:the_balanced_accuracy_and_its_posterior_distribution.pdf
4,Canziani2017PracticalDNN,2016,An Analysis of Deep Neural Network Models for Practical Applications,[2016] [4] An Analysis of Deep Neural Network Models for Practical Applications.pdf,7,https://arxiv.org/pdf/1605.07678
5,Cui2019ClassBalanced,2019,Class-Balanced Loss Based on Effective Number of Samples,[2019] [5] Class-Balanced Loss Based on Effective Number of Samples.pdf,10,https://openaccess.thecvf.com/content_CVPR_2019/papers/Cui_Class-Balanced_Loss_Based_on_Effective_Number_of_Samples_CVPR_2019_paper.pdf
7,Davis2006PR,2006,The Relationship Between Precision--Recall and ROC Curves,[2006] [7] The Relationship Between Precision--Recall and ROC Curves.pdf,8,https://ftp.cs.wisc.edu/machine-learning/shavlik-group/davis.icml06.pdf
8,Dosovitskiy2021ViT,2021,An Image Is Worth 16x16 Words: Transformers for Image Recognition at Scale,[2021] [8] An Image Is Worth 16x16 Words Transformers for Image Recognition.pdf,22,https://arxiv.org/pdf/2010.11929
9,Fawcett2006ROC,2006,An Introduction to ROC Analysis,[2006] [9] An Introduction to ROC Analysis.pdf,14,https://ccrma.stanford.edu/workshops/mir2009/references/ROCintro.pdf
10,Guo2017Calibration,2017,On Calibration of Modern Neural Networks,[2017] [10] On Calibration of Modern Neural Networks.pdf,10,https://proceedings.mlr.press/v70/guo17a/guo17a.pdf
11,ResNet,2016,Deep Residual Learning for Image Recognition,[2016] [11] Deep Residual Learning for Image Recognition.pdf,9,https://openaccess.thecvf.com/content_cvpr_2016/papers/He_Deep_Residual_Learning_CVPR_2016_paper.pdf
12,Hendrycks2017MSP,2017,A Baseline for Detecting Misclassified and Out-of-Distribution Examples in Neural Networks,[2017] [12] A Baseline for Detecting Misclassified and Out-of-Distribution Examples in Neural.pdf,12,https://arxiv.org/pdf/1610.02136
