group,comparison_config,comparison,metric,delta_mean,ci_low,ci_high,p_raw,n_seeds,method,delta_definition
CTCH,ctch/ablation_study/architecture/preprocess/xbone_nohighres,Không dùng ảnh độ phân giải cao,f1_macro,0.0004840156119733,-0.0352227861565119,0.0383394096724844,0.9776022397760225,3,bootstrap phân tầng theo bệnh nhân và seed; kiểm định hoán vị ghép cặp,XBone-Net minus ablation variant
CTCH,ctch/ablation_study/architecture/preprocess/xbone_nohighres,Không dùng ảnh độ phân giải cao,balanced_accuracy,0.0273380148444498,-0.0319451924878997,0.0805586993621409,0.1518848115188481,3,bootstrap phân tầng theo bệnh nhân và seed; kiểm định hoán vị ghép cặp,XBone-Net minus ablation variant
CTCH,ctch/ablation_study/architecture/preprocess/xbone_nohighres,Không dùng ảnh độ phân giải cao,accuracy,-0.0348779272546089,-0.077727952167414,0.009466865969108,0.0252974702529747,3,bootstrap phân tầng theo bệnh nhân và seed; kiểm định hoán vị ghép cặp,XBone-Net minus ablation variant
CTCH,ctch/ablation_study/architecture/preprocess/xbone_mean_pooling,Gộp trung bình,f1_macro,-0.0178145624357648,-0.0537141172023768,0.0209302998122586,0.1956804319568043,3,bootstrap phân tầng theo bệnh nhân và seed; kiểm định hoán vị ghép cặp,XBone-Net minus ablation variant
CTCH,ctch/ablation_study/architecture/preprocess/xbone_mean_pooling,Gộp trung bình,balanced_accuracy,-0.0204746417875957,-0.0506143597090791,0.0096106744189877,0.148985101489851,3,bootstrap phân tầng theo bệnh nhân và seed; kiểm định hoán vị ghép cặp,XBone-Net minus ablation variant
CTCH,ctch/ablation_study/architecture/preprocess/xbone_mean_pooling,Gộp trung bình,accuracy,-0.0064773293472846,-0.0353761833582461,0.0264075734927751,0.5453454654534546,3,bootstrap phân tầng theo bệnh nhân và seed; kiểm định hoán vị ghép cặp,XBone-Net minus ablation variant
CTCH,ctch/ablation_study/architecture/phase/phase2_only,Chỉ pha 2,f1_macro,-0.0195841239656472,-0.0580935486193004,0.0202023977700258,0.232976702329767,3,bootstrap phân tầng theo bệnh nhân và seed; kiểm định hoán vị ghép cặp,XBone-Net minus ablation variant
CTCH,ctch/ablation_study/architecture/phase/phase2_only,Chỉ pha 2,balanced_accuracy,0.0272732047236372,-0.0175999651336335,0.0768795238113955,0.1076892310768923,3,bootstrap phân tầng theo bệnh nhân và seed; kiểm định hoán vị ghép cặp,XBone-Net minus ablation variant
CTCH,ctch/ablation_study/architecture/phase/phase2_only,Chỉ pha 2,accuracy,-0.0448430493273542,-0.0822122571001494,-0.0079720976581962,0.0043995600439956,3,bootstrap phân tầng theo bệnh nhân và seed; kiểm định hoán vị ghép cặp,XBone-Net minus ablation variant
CTCH,ctch/ablation_study/architecture/fusion/concat,Nối đặc trưng,f1_macro,0.0132200049305341,-0.0285123260333706,0.0528778146949,0.5953404659534046,3,bootstrap phân tầng theo bệnh nhân và seed; kiểm định hoán vị ghép cặp,XBone-Net minus ablation variant
CTCH,ctch/ablation_study/architecture/fusion/concat,Nối đặc trưng,balanced_accuracy,0.0176670279981171,-0.0631439763329845,0.0899336456369848,0.4618538146185381,3,bootstrap phân tầng theo bệnh nhân và seed; kiểm định hoán vị ghép cặp,XBone-Net minus ablation variant
CTCH,ctch/ablation_study/architecture/fusion/concat,Nối đặc trưng,accuracy,-0.0199302441454908,-0.0587942202291977,0.0209267563527653,0.2232776722327767,3,bootstrap phân tầng theo bệnh nhân và seed; kiểm định hoán vị ghép cặp,XBone-Net minus ablation variant
CTCH,ctch/ablation_study/architecture/classifier/linear,Đầu tuyến tính,f1_macro,-0.0331452383488156,-0.0735329023212808,0.0085633596401056,0.065993400659934,3,bootstrap phân tầng theo bệnh nhân và seed; kiểm định hoán vị ghép cặp,XBone-Net minus ablation variant
