group,dataset,shot,comparison_config,comparison,metric,delta_mean,ci_low,ci_high,p_raw,n_seeds,method,delta_definition
"BTXRD, 1 mẫu",BTXRD,1,lora_biomedclip,LoRA-BiomedCLIP,accuracy,-0.030222222222222216,-0.20173236486158166,0.14128792041713725,0.5275042635803748,3,khoảng Student-t và kiểm định t ghép cặp trên seed,XBone-Net minus baseline
"BTXRD, 1 mẫu",BTXRD,1,lora_biomedclip,LoRA-BiomedCLIP,balanced_accuracy,-0.0016303342044147091,-0.04219059926706372,0.0389299308582343,0.8786125742991924,3,khoảng Student-t và kiểm định t ghép cặp trên seed,XBone-Net minus baseline
"BTXRD, 1 mẫu",BTXRD,1,lora_biomedclip,LoRA-BiomedCLIP,f1_macro,-0.007933936829747301,-0.04608710794707403,0.03021923428757943,0.4653461710354485,3,khoảng Student-t và kiểm định t ghép cặp trên seed,XBone-Net minus baseline
"BTXRD, 1 mẫu",BTXRD,1,lora_biomedclip,LoRA-BiomedCLIP,auroc_macro,-0.004495108644771688,-0.11159222766299755,0.10260201037345416,0.8733307213948371,3,khoảng Student-t và kiểm định t ghép cặp trên seed,XBone-Net minus baseline
"BTXRD, 1 mẫu",BTXRD,1,lora_biomedclip,LoRA-BiomedCLIP,auprc_macro,-0.005009960332562874,-0.032278960626929094,0.022259039961803347,0.5120830426708264,3,khoảng Student-t và kiểm định t ghép cặp trên seed,XBone-Net minus baseline
"BTXRD, 1 mẫu",BTXRD,1,lora_pubmedclip,LoRA-PubMedCLIP,accuracy,-0.06844444444444443,-0.5815051433730005,0.4446162544841117,0.6239223727122274,3,khoảng Student-t và kiểm định t ghép cặp trên seed,XBone-Net minus baseline
"BTXRD, 1 mẫu",BTXRD,1,lora_pubmedclip,LoRA-PubMedCLIP,balanced_accuracy,-0.03912999352832317,-0.25093791587463027,0.1726779288179839,0.5100248501589019,3,khoảng Student-t và kiểm định t ghép cặp trên seed,XBone-Net minus baseline
"BTXRD, 1 mẫu",BTXRD,1,lora_pubmedclip,LoRA-PubMedCLIP,f1_macro,-0.019802776026083952,-0.22751910182669174,0.18791354977452382,0.7214289640703162,3,khoảng Student-t và kiểm định t ghép cặp trên seed,XBone-Net minus baseline
"BTXRD, 1 mẫu",BTXRD,1,lora_pubmedclip,LoRA-PubMedCLIP,auroc_macro,-0.023758188006448022,-0.13769398215779993,0.09017760614490389,0.46429532452303945,3,khoảng Student-t và kiểm định t ghép cặp trên seed,XBone-Net minus baseline
"BTXRD, 1 mẫu",BTXRD,1,lora_pubmedclip,LoRA-PubMedCLIP,auprc_macro,-0.04663417334651553,-0.17797111016579756,0.08470276347276648,0.2661496918041115,3,khoảng Student-t và kiểm định t ghép cặp trên seed,XBone-Net minus baseline
"BTXRD, 10 mẫu",BTXRD,10,lora_biomedclip,LoRA-BiomedCLIP,accuracy,0.011999999999999974,-0.029369160100338167,0.05336916010033812,0.3383068401155742,3,khoảng Student-t và kiểm định t ghép cặp trên seed,XBone-Net minus baseline
"BTXRD, 10 mẫu",BTXRD,10,lora_biomedclip,LoRA-BiomedCLIP,balanced_accuracy,0.00998968061856705,-0.0853998393788896,0.1053792006160237,0.6964177517832324,3,khoảng Student-t và kiểm định t ghép cặp trên seed,XBone-Net minus baseline
"BTXRD, 10 mẫu",BTXRD,10,lora_biomedclip,LoRA-BiomedCLIP,f1_macro,0.009098678728946393,-0.06516466331196508,0.08336202076985785,0.6507203255826576,3,khoảng Student-t và kiểm định t ghép cặp trên seed,XBone-Net minus baseline
"BTXRD, 10 mẫu",BTXRD,10,lora_biomedclip,LoRA-BiomedCLIP,auroc_macro,-0.002161435781664204,-0.050035061188174364,0.04571218962484596,0.8639156213917432,3,khoảng Student-t và kiểm định t ghép cặp trên seed,XBone-Net minus baseline
"BTXRD, 10 mẫu",BTXRD,10,lora_biomedclip,LoRA-BiomedCLIP,auprc_macro,0.008447433369393112,-0.09226695033281879,0.10916181707160502,0.7527390899281547,3,khoảng Student-t và kiểm định t ghép cặp trên seed,XBone-Net minus baseline
"BTXRD, 10 mẫu",BTXRD,10,lora_pubmedclip,LoRA-PubMedCLIP,accuracy,0.024888888888888887,-0.0899600133205565,0.13973779109833429,0.44955003035505026,3,khoảng Student-t và kiểm định t ghép cặp trên seed,XBone-Net minus baseline
"BTXRD, 10 mẫu",BTXRD,10,lora_pubmedclip,LoRA-PubMedCLIP,balanced_accuracy,0.0329591986415142,-0.053265469897928325,0.11918386718095672,0.24176666599704746,3,khoảng Student-t và kiểm định t ghép cặp trên seed,XBone-Net minus baseline
"BTXRD, 10 mẫu",BTXRD,10,lora_pubmedclip,LoRA-PubMedCLIP,f1_macro,0.01377462273506865,-0.036078930746563306,0.06362817621670061,0.35652521034749796,3,khoảng Student-t và kiểm định t ghép cặp trên seed,XBone-Net minus baseline
"BTXRD, 10 mẫu",BTXRD,10,lora_pubmedclip,LoRA-PubMedCLIP,auroc_macro,0.004753070935241281,-0.05390725290298781,0.06341339477347037,0.7606462978816714,3,khoảng Student-t và kiểm định t ghép cặp trên seed,XBone-Net minus baseline
"BTXRD, 10 mẫu",BTXRD,10,lora_pubmedclip,LoRA-PubMedCLIP,auprc_macro,-0.005403643466493542,-0.12778375960543423,0.11697647267244715,0.8668585433355137,3,khoảng Student-t và kiểm định t ghép cặp trên seed,XBone-Net minus baseline
"BTXRD, 20 mẫu",BTXRD,20,lora_biomedclip,LoRA-BiomedCLIP,accuracy,0.013777777777777778,-0.04550321538765925,0.0730587709432148,0.42264973081037416,3,khoảng Student-t và kiểm định t ghép cặp trên seed,XBone-Net minus baseline
"BTXRD, 20 mẫu",BTXRD,20,lora_biomedclip,LoRA-BiomedCLIP,balanced_accuracy,0.04567956061382272,-0.06308994903151605,0.1544490702591615,0.21250828278442618,3,khoảng Student-t và kiểm định t ghép cặp trên seed,XBone-Net minus baseline
"BTXRD, 20 mẫu",BTXRD,20,lora_biomedclip,LoRA-BiomedCLIP,f1_macro,0.0326322888493902,-0.030959496459062104,0.09622407415784251,0.1579271776778465,3,khoảng Student-t và kiểm định t ghép cặp trên seed,XBone-Net minus baseline
"BTXRD, 20 mẫu",BTXRD,20,lora_biomedclip,LoRA-BiomedCLIP,auroc_macro,-0.010795202031167387,-0.0628978754058167,0.041307471343481936,0.466741344352123,3,khoảng Student-t và kiểm định t ghép cặp trên seed,XBone-Net minus baseline
"BTXRD, 20 mẫu",BTXRD,20,lora_biomedclip,LoRA-BiomedCLIP,auprc_macro,0.021428487296391168,-0.08458300876113417,0.12743998335391651,0.4761535850649665,3,khoảng Student-t và kiểm định t ghép cặp trên seed,XBone-Net minus baseline
"BTXRD, 20 mẫu",BTXRD,20,lora_pubmedclip,LoRA-PubMedCLIP,accuracy,0.008000000000000044,-0.00643747366314406,0.022437473663144147,0.13992673137850534,3,khoảng Student-t và kiểm định t ghép cặp trên seed,XBone-Net minus baseline
"BTXRD, 20 mẫu",BTXRD,20,lora_pubmedclip,LoRA-PubMedCLIP,balanced_accuracy,0.016361618306766783,-0.029249737865252385,0.061972974478785955,0.26270171905164363,3,khoảng Student-t và kiểm định t ghép cặp trên seed,XBone-Net minus baseline
"BTXRD, 20 mẫu",BTXRD,20,lora_pubmedclip,LoRA-PubMedCLIP,f1_macro,0.007012752544904892,-0.040573798083199816,0.054599303173009595,0.5908811684377728,3,khoảng Student-t và kiểm định t ghép cặp trên seed,XBone-Net minus baseline
"BTXRD, 20 mẫu",BTXRD,20,lora_pubmedclip,LoRA-PubMedCLIP,auroc_macro,-0.00417775308640785,-0.04956319488445753,0.04120768871164183,0.7303185630134088,3,khoảng Student-t và kiểm định t ghép cặp trên seed,XBone-Net minus baseline
"BTXRD, 20 mẫu",BTXRD,20,lora_pubmedclip,LoRA-PubMedCLIP,auprc_macro,0.007328896079597931,-0.10755872045941439,0.12221651261861025,0.8094726108065015,3,khoảng Student-t và kiểm định t ghép cặp trên seed,XBone-Net minus baseline
"CTCH, 1 mẫu",CTCH,1,lora_biomedclip,LoRA-BiomedCLIP,accuracy,0.021425012456402586,0.006418251565397994,0.03643177334740718,0.025491840436426307,3,khoảng Student-t và kiểm định t ghép cặp trên seed,XBone-Net minus baseline
"CTCH, 1 mẫu",CTCH,1,lora_biomedclip,LoRA-BiomedCLIP,balanced_accuracy,0.05207868192053389,-0.07181945870993565,0.17597682255100344,0.2122463360034387,3,khoảng Student-t và kiểm định t ghép cặp trên seed,XBone-Net minus baseline
"CTCH, 1 mẫu",CTCH,1,lora_biomedclip,LoRA-BiomedCLIP,f1_macro,0.016203529862900422,-0.03862251157813035,0.0710295713039312,0.3313744264094296,3,khoảng Student-t và kiểm định t ghép cặp trên seed,XBone-Net minus baseline
"CTCH, 1 mẫu",CTCH,1,lora_biomedclip,LoRA-BiomedCLIP,auroc_macro,0.04144070771314771,0.009103868685365099,0.07377754674093032,0.03135178381878084,3,khoảng Student-t và kiểm định t ghép cặp trên seed,XBone-Net minus baseline
"CTCH, 1 mẫu",CTCH,1,lora_biomedclip,LoRA-BiomedCLIP,auprc_macro,0.05242730466544184,0.003983898978443687,0.10087071035244,0.04315568042993572,3,khoảng Student-t và kiểm định t ghép cặp trên seed,XBone-Net minus baseline
"CTCH, 1 mẫu",CTCH,1,lora_pubmedclip,LoRA-PubMedCLIP,accuracy,0.04334828101644245,-0.04397139502528785,0.13066795705817275,0.16619375960946942,3,khoảng Student-t và kiểm định t ghép cặp trên seed,XBone-Net minus baseline
"CTCH, 1 mẫu",CTCH,1,lora_pubmedclip,LoRA-PubMedCLIP,balanced_accuracy,0.05004088537459784,-0.0020880244616163918,0.10216979521081207,0.05392112817888028,3,khoảng Student-t và kiểm định t ghép cặp trên seed,XBone-Net minus baseline
"CTCH, 1 mẫu",CTCH,1,lora_pubmedclip,LoRA-PubMedCLIP,f1_macro,0.03598059900381478,-0.02583677012190838,0.09779796812953793,0.12924571533281787,3,khoảng Student-t và kiểm định t ghép cặp trên seed,XBone-Net minus baseline
"CTCH, 1 mẫu",CTCH,1,lora_pubmedclip,LoRA-PubMedCLIP,auroc_macro,0.07415334640242555,0.022044386046113508,0.1262623067587376,0.025652225739208327,3,khoảng Student-t và kiểm định t ghép cặp trên seed,XBone-Net minus baseline
"CTCH, 1 mẫu",CTCH,1,lora_pubmedclip,LoRA-PubMedCLIP,auprc_macro,0.08420594116274034,0.04997869281449475,0.11843318951098594,0.008806820056916652,3,khoảng Student-t và kiểm định t ghép cặp trên seed,XBone-Net minus baseline
"CTCH, 10 mẫu",CTCH,10,lora_biomedclip,LoRA-BiomedCLIP,accuracy,-0.01096163428001993,-0.05526154595169399,0.03333827739165413,0.3985567930048106,3,khoảng Student-t và kiểm định t ghép cặp trên seed,XBone-Net minus baseline
"CTCH, 10 mẫu",CTCH,10,lora_biomedclip,LoRA-BiomedCLIP,balanced_accuracy,0.0031891775913801177,-0.035618002390268945,0.041996357573029185,0.7574391930631109,3,khoảng Student-t và kiểm định t ghép cặp trên seed,XBone-Net minus baseline
"CTCH, 10 mẫu",CTCH,10,lora_biomedclip,LoRA-BiomedCLIP,f1_macro,0.0038118124921115992,-0.043978726087224605,0.051602351071447804,0.7641770719860894,3,khoảng Student-t và kiểm định t ghép cặp trên seed,XBone-Net minus baseline
"CTCH, 10 mẫu",CTCH,10,lora_biomedclip,LoRA-BiomedCLIP,auroc_macro,0.001514306726923394,-0.009049569388528134,0.012078182842374923,0.6002386317197344,3,khoảng Student-t và kiểm định t ghép cặp trên seed,XBone-Net minus baseline
"CTCH, 10 mẫu",CTCH,10,lora_biomedclip,LoRA-BiomedCLIP,auprc_macro,-0.010647873439334895,-0.01884162957658603,-0.0024541173020837595,0.030529348202241072,3,khoảng Student-t và kiểm định t ghép cặp trên seed,XBone-Net minus baseline
"CTCH, 10 mẫu",CTCH,10,lora_pubmedclip,LoRA-PubMedCLIP,accuracy,0.01145989038365719,-0.07627984665635106,0.09919962742366543,0.6307096610080327,3,khoảng Student-t và kiểm định t ghép cặp trên seed,XBone-Net minus baseline
"CTCH, 10 mẫu",CTCH,10,lora_pubmedclip,LoRA-PubMedCLIP,balanced_accuracy,-0.003876555567613127,-0.07557651586893316,0.0678234047337069,0.8376879000700984,3,khoảng Student-t và kiểm định t ghép cặp trên seed,XBone-Net minus baseline
"CTCH, 10 mẫu",CTCH,10,lora_pubmedclip,LoRA-PubMedCLIP,f1_macro,0.014349191573170642,-0.047061147088265635,0.07575953023460692,0.42059162584740517,3,khoảng Student-t và kiểm định t ghép cặp trên seed,XBone-Net minus baseline
"CTCH, 10 mẫu",CTCH,10,lora_pubmedclip,LoRA-PubMedCLIP,auroc_macro,-0.002497286810961804,-0.01764531872784639,0.012650745105922784,0.5516624480411488,3,khoảng Student-t và kiểm định t ghép cặp trên seed,XBone-Net minus baseline
"CTCH, 10 mẫu",CTCH,10,lora_pubmedclip,LoRA-PubMedCLIP,auprc_macro,-0.02441653662066941,-0.0706399724981417,0.02180689925680288,0.1509495884405686,3,khoảng Student-t và kiểm định t ghép cặp trên seed,XBone-Net minus baseline
"CTCH, 20 mẫu",CTCH,20,lora_biomedclip,LoRA-BiomedCLIP,accuracy,-0.0034877927254608845,-0.025245219729185482,0.01826963427826371,0.561642996240395,3,khoảng Student-t và kiểm định t ghép cặp trên seed,XBone-Net minus baseline
"CTCH, 20 mẫu",CTCH,20,lora_biomedclip,LoRA-BiomedCLIP,balanced_accuracy,-0.02804204397188259,-0.13443938106603887,0.07835529312227368,0.3744190862368291,3,khoảng Student-t và kiểm định t ghép cặp trên seed,XBone-Net minus baseline
"CTCH, 20 mẫu",CTCH,20,lora_biomedclip,LoRA-BiomedCLIP,f1_macro,-0.011878021370806255,-0.05416860176486779,0.03041255902325528,0.35035926958577895,3,khoảng Student-t và kiểm định t ghép cặp trên seed,XBone-Net minus baseline
"CTCH, 20 mẫu",CTCH,20,lora_biomedclip,LoRA-BiomedCLIP,auroc_macro,0.004122213535348955,-0.04468785333297695,0.052932280403674856,0.7511375242366891,3,khoảng Student-t và kiểm định t ghép cặp trên seed,XBone-Net minus baseline
"CTCH, 20 mẫu",CTCH,20,lora_biomedclip,LoRA-BiomedCLIP,auprc_macro,0.012963220557609642,-0.04650079368026481,0.07242723479548409,0.447270173585388,3,khoảng Student-t và kiểm định t ghép cặp trên seed,XBone-Net minus baseline
"CTCH, 20 mẫu",CTCH,20,lora_pubmedclip,LoRA-PubMedCLIP,accuracy,-0.014947683109118093,-0.028335853355799044,-0.0015595128624371433,0.040705780913380625,3,khoảng Student-t và kiểm định t ghép cặp trên seed,XBone-Net minus baseline
"CTCH, 20 mẫu",CTCH,20,lora_pubmedclip,LoRA-PubMedCLIP,balanced_accuracy,-0.0022606115538882365,-0.07307127868544498,0.06855005557766851,0.9033260231921003,3,khoảng Student-t và kiểm định t ghép cặp trên seed,XBone-Net minus baseline
"CTCH, 20 mẫu",CTCH,20,lora_pubmedclip,LoRA-PubMedCLIP,f1_macro,0.003453577703170304,-0.042867673334050324,0.049774828740390936,0.778784742731928,3,khoảng Student-t và kiểm định t ghép cặp trên seed,XBone-Net minus baseline
