group,comparison_config,comparison,metric,delta_mean,ci_low,ci_high,p_raw,n_seeds,method,delta_definition
BTXRD,lora_biomedclip,LoRA-BiomedCLIP,accuracy,0.0124444444444443,-0.008,0.0324444444444443,0.2298770122987701,3,bootstrap phân tầng theo bệnh nhân và seed; kiểm định hoán vị ghép cặp,XBone-Net minus baseline
BTXRD,lora_biomedclip,LoRA-BiomedCLIP,balanced_accuracy,-0.0636162608659828,-0.1137179116793273,-0.0120034897511954,0.0146985301469853,3,bootstrap phân tầng theo bệnh nhân và seed; kiểm định hoán vị ghép cặp,XBone-Net minus baseline
BTXRD,lora_biomedclip,LoRA-BiomedCLIP,f1_macro,-0.0214263421540071,-0.0696654363149623,0.0214411784067937,0.3771622837716228,3,bootstrap phân tầng theo bệnh nhân và seed; kiểm định hoán vị ghép cặp,XBone-Net minus baseline
BTXRD,lora_biomedclip,LoRA-BiomedCLIP,auroc_macro,0.0140938161173771,-0.0237803032284389,0.0568147745935362,0.4862513748625137,3,bootstrap phân tầng theo bệnh nhân và seed; kiểm định hoán vị ghép cặp,XBone-Net minus baseline
BTXRD,lora_biomedclip,LoRA-BiomedCLIP,auprc_macro,-0.0042077234592254,-0.0529143373319979,0.0414798003570639,0.8586141385861414,3,bootstrap phân tầng theo bệnh nhân và seed; kiểm định hoán vị ghép cặp,XBone-Net minus baseline
BTXRD,lora_pubmedclip,LoRA-PubMedCLIP,accuracy,-0.0088888888888888,-0.028,0.0106666666666666,0.3740625937406259,3,bootstrap phân tầng theo bệnh nhân và seed; kiểm định hoán vị ghép cặp,XBone-Net minus baseline
BTXRD,lora_pubmedclip,LoRA-PubMedCLIP,balanced_accuracy,-0.0453317709769323,-0.1004612682974749,0.0125588361474762,0.0761923807619238,3,bootstrap phân tầng theo bệnh nhân và seed; kiểm định hoán vị ghép cặp,XBone-Net minus baseline
BTXRD,lora_pubmedclip,LoRA-PubMedCLIP,f1_macro,-0.0317060658703503,-0.08738466499818,0.0220481313552631,0.214978502149785,3,bootstrap phân tầng theo bệnh nhân và seed; kiểm định hoán vị ghép cặp,XBone-Net minus baseline
BTXRD,lora_pubmedclip,LoRA-PubMedCLIP,auroc_macro,0.0203713530120893,-0.0249348417097411,0.0600799676299469,0.3358664133586641,3,bootstrap phân tầng theo bệnh nhân và seed; kiểm định hoán vị ghép cặp,XBone-Net minus baseline
BTXRD,lora_pubmedclip,LoRA-PubMedCLIP,auprc_macro,-0.0290901772502961,-0.0997928408664858,0.0396012310423734,0.4058594140585941,3,bootstrap phân tầng theo bệnh nhân và seed; kiểm định hoán vị ghép cặp,XBone-Net minus baseline
BTXRD,fft_biomedclip,BiomedCLIP,accuracy,-0.0053333333333331,-0.023111111111111,0.0124555555555556,0.5767423257674232,3,bootstrap phân tầng theo bệnh nhân và seed; kiểm định hoán vị ghép cặp,XBone-Net minus baseline
BTXRD,fft_biomedclip,BiomedCLIP,balanced_accuracy,-0.014594460765206,-0.0647501063622448,0.0405058629959212,0.5203479652034797,3,bootstrap phân tầng theo bệnh nhân và seed; kiểm định hoán vị ghép cặp,XBone-Net minus baseline
BTXRD,fft_biomedclip,BiomedCLIP,f1_macro,0.001677896833134,-0.0475994362000891,0.0483451197516679,0.9435056494350564,3,bootstrap phân tầng theo bệnh nhân và seed; kiểm định hoán vị ghép cặp,XBone-Net minus baseline
BTXRD,fft_biomedclip,BiomedCLIP,auroc_macro,0.0378313814411646,-0.0052200008423817,0.0770398250935682,0.0738926107389261,3,bootstrap phân tầng theo bệnh nhân và seed; kiểm định hoán vị ghép cặp,XBone-Net minus baseline
BTXRD,fft_biomedclip,BiomedCLIP,auprc_macro,-0.0209606893036549,-0.0680175804259626,0.0297569991897694,0.3891610838916108,3,bootstrap phân tầng theo bệnh nhân và seed; kiểm định hoán vị ghép cặp,XBone-Net minus baseline
BTXRD,fft_pubmedclip,PubMedCLIP,accuracy,0.0373333333333333,0.0066666666666667,0.068,0.0014998500149985,3,bootstrap phân tầng theo bệnh nhân và seed; kiểm định hoán vị ghép cặp,XBone-Net minus baseline
BTXRD,fft_pubmedclip,PubMedCLIP,balanced_accuracy,-0.0172795872444845,-0.0796486771864275,0.0427486785910834,0.4988501149885011,3,bootstrap phân tầng theo bệnh nhân và seed; kiểm định hoán vị ghép cặp,XBone-Net minus baseline
BTXRD,fft_pubmedclip,PubMedCLIP,f1_macro,0.0287593109596099,-0.0439821079176935,0.0985814600816938,0.2455754424557544,3,bootstrap phân tầng theo bệnh nhân và seed; kiểm định hoán vị ghép cặp,XBone-Net minus baseline
BTXRD,fft_pubmedclip,PubMedCLIP,auroc_macro,0.0195111638399554,-0.0228063378121884,0.0595801438176663,0.3253674632536746,3,bootstrap phân tầng theo bệnh nhân và seed; kiểm định hoán vị ghép cặp,XBone-Net minus baseline
BTXRD,fft_pubmedclip,PubMedCLIP,auprc_macro,0.0151643882240186,-0.0489063575339317,0.0757767710091101,0.6297370262973703,3,bootstrap phân tầng theo bệnh nhân và seed; kiểm định hoán vị ghép cặp,XBone-Net minus baseline
BTXRD,fft_clip,CLIP,accuracy,0.0222222222222222,-0.008,0.0559999999999998,0.034996500349965,3,bootstrap phân tầng theo bệnh nhân và seed; kiểm định hoán vị ghép cặp,XBone-Net minus baseline
BTXRD,fft_clip,CLIP,balanced_accuracy,-0.0041422805966743,-0.0540908044392471,0.0446061825976314,0.8711128887111289,3,bootstrap phân tầng theo bệnh nhân và seed; kiểm định hoán vị ghép cặp,XBone-Net minus baseline
BTXRD,fft_clip,CLIP,f1_macro,0.0223692339397826,-0.03099609476606,0.074049849515594,0.3676632336766323,3,bootstrap phân tầng theo bệnh nhân và seed; kiểm định hoán vị ghép cặp,XBone-Net minus baseline
BTXRD,fft_clip,CLIP,auroc_macro,0.0269922471197532,-0.0030665370619903,0.0548095393789085,0.0634936506349365,3,bootstrap phân tầng theo bệnh nhân và seed; kiểm định hoán vị ghép cặp,XBone-Net minus baseline
BTXRD,fft_clip,CLIP,auprc_macro,0.0050136895217652,-0.0463303291824756,0.0493047095654155,0.8329167083291671,3,bootstrap phân tầng theo bệnh nhân và seed; kiểm định hoán vị ghép cặp,XBone-Net minus baseline
BTXRD,fft_medclip,MedCLIP,accuracy,0.0048888888888889,-0.0195555555555554,0.0306666666666667,0.6298370162983702,3,bootstrap phân tầng theo bệnh nhân và seed; kiểm định hoán vị ghép cặp,XBone-Net minus baseline
