token,signed_ig_normalized,absolute_ig_normalized
knee,1.0,1.0
knee,0.7810859,0.7810859
currently,0.7691042,0.7691042
personal,0.38481784,0.38481784
lot,0.3021766,0.3021766
hurts,0.27699167,0.27699167
history,0.2616923,0.2616923
pressure,0.2559677,0.2559677
walk,0.25070858,0.25070858
2024,0.21543501,0.21543501
falling,0.18050724,0.18050724
difficult,-0.17897628,0.17897628
november,0.16998008,0.16998008
19,-0.16584323,0.16584323
makes,0.1639505,0.1639505
pain,0.14267802,0.14267802
pain,0.13657953,0.13657953
admission,-0.13466986,0.13466986
history,0.12906086,0.12906086
:,0.12809035,0.12809035
:,0.12328108,0.12328108
it,-0.11563613,0.11563613
car,0.11464781,0.11464781
a,0.11116671,0.11116671
",",-0.10451867,0.10451867
on,-0.09303878,0.09303878
disease,0.09280844,0.09280844
blood,0.07143625,0.07143625
:,0.063265786,0.063265786
reason,0.061668437,0.061668437
",",0.05763037,0.05763037
it,-0.04942024,0.04942024
right,-0.046477683,0.046477683
medical,-0.042539112,0.042539112
right,0.040119726,0.040119726
from,0.037970513,0.037970513
to,-0.024087701,0.024087701
",",0.022383096,0.022383096
for,0.018584017,0.018584017
and,-0.0133495955,0.0133495955
patient,-0.007108987,0.007108987
high,0.006314939,0.006314939
.,0.0037259476,0.0037259476
reported,-0.0019784705,0.0019784705
